x,y,z
7.5,162.5,3.32011692273655
8.5,162.5,3.32011692273655
9.5,162.5,3.32011692273655
10.5,162.5,3.32011692273655
5.5,163.5,3.32011692273655
6.5,163.5,3.32011692273655
7.5,163.5,3.32011692273655
8.5,163.5,3.32011692273655
9.5,163.5,3.32011692273655
10.5,163.5,3.32011692273655
5.5,164.5,3.32011692273655
6.5,164.5,3.32011692273655
7.5,164.5,3.32011692273655
8.5,164.5,3.32011692273655
9.5,164.5,3.32011692273655
10.5,164.5,3.32011692273655
5.5,165.5,3.32011692273655
6.5,165.5,3.32011692273655
7.5,165.5,3.32011692273655
8.5,165.5,3.32011692273655
9.5,165.5,3.32011692273655
10.5,165.5,3.32011692273655
5.5,166.5,3.32011692273655
6.5,166.5,3.32011692273655
7.5,166.5,3.32011692273655
8.5,166.5,3.32011692273655
9.5,166.5,3.32011692273655
10.5,166.5,3.32011692273655
5.5,167.5,3.32011692273655
6.5,167.5,3.32011692273655
7.5,167.5,3.32011692273655
8.5,167.5,3.32011692273655
9.5,167.5,3.32011692273655
10.5,167.5,3.32011692273655
6.5,163.5,4.48168907033806
7.5,163.5,4.48168907033806
8.5,163.5,4.48168907033806
9.5,163.5,4.48168907033806
6.5,164.5,4.48168907033806
7.5,164.5,4.48168907033806
8.5,164.5,4.48168907033806
9.5,164.5,4.48168907033806
6.5,165.5,4.48168907033806
7.5,165.5,4.48168907033806
8.5,165.5,4.48168907033806
9.5,165.5,4.48168907033806
6.5,166.5,4.48168907033806
7.5,166.5,4.48168907033806
8.5,166.5,4.48168907033806
9.5,166.5,4.48168907033806
7.5,164.5,6.04964746441295
8.5,164.5,6.04964746441295
7.5,165.5,6.04964746441295
8.5,165.5,6.04964746441295
8,165,8.16616991256765
8,165,11.0231763806416
1,174,1.349858807576
1.5,176.5,1.349858807576
1.5,176.5,1.82211880039051
1.5,176.5,2.45960311115695
1.5,176.5,3.32011692273655
1,179,1.349858807576
1,181,1.349858807576
1,183,1.349858807576
1.5,185.5,1.349858807576
1.5,185.5,1.82211880039051
1.5,185.5,2.45960311115695
1.5,185.5,3.32011692273655
1,188,1.349858807576
1,190,1.349858807576
1.5,192.5,1.349858807576
1.5,192.5,1.82211880039051
1.5,192.5,2.45960311115695
1.5,192.5,3.32011692273655
1,195,1.349858807576
1.5,197.5,1.349858807576
1.5,197.5,1.82211880039051
1.5,197.5,2.45960311115695
1.5,197.5,3.32011692273655
1.5,200.5,1.349858807576
1.5,200.5,1.82211880039051
1.5,200.5,2.45960311115695
1.5,200.5,3.32011692273655
1,203,1.349858807576
1.5,205.5,1.349858807576
1.5,205.5,1.82211880039051
1.5,205.5,2.45960311115695
1.5,205.5,3.32011692273655
1,208,1.349858807576
1.5,210.5,1.349858807576
1.5,210.5,1.82211880039051
1.5,210.5,2.45960311115695
1.5,210.5,3.32011692273655
1.5,213.5,1.349858807576
1.5,213.5,1.82211880039051
1.5,213.5,2.45960311115695
1.5,213.5,3.32011692273655
1.5,216.5,1.349858807576
2.5,216.5,1.349858807576
1.5,217.5,1.349858807576
2.5,217.5,1.349858807576
1.5,216.5,1.82211880039051
2.5,216.5,1.82211880039051
1.5,217.5,1.82211880039051
2.5,217.5,1.82211880039051
2,217,2.45960311115695
2,217,3.32011692273655
2,217,4.48168907033806
1,220,1.349858807576
1,222,1.349858807576
1.5,224.5,1.349858807576
1.5,224.5,1.82211880039051
1.5,224.5,2.45960311115695
1.5,224.5,3.32011692273655
1.5,227.5,1.349858807576
1.5,227.5,1.82211880039051
1.5,227.5,2.45960311115695
1.5,227.5,3.32011692273655
1.5,230.5,1.349858807576
2.5,230.5,1.349858807576
1.5,231.5,1.349858807576
